NEWID,GENDER,INTAKE,STREAM,SEC SCHOOL,RELIGION,CITIZENSHIP,REPEAT,MSG,L1R5,EL1,HMTL,MTL2,B2,DSS,BT,FE,EM,AM,PHY,CHM,BIO,PC,PB,CB,SSL,PE,COM,EC,PA,CH,SLC,SSH,SSG,HA,HMU,LEL,LCL,HSY,GEO,ART,MU,AL,CLB,IN,MSP,HH,HG,HL,IH,IHC,FR,GM,JP,EM2,AM2,PO2,CO2,BO2,EO2,GO2,IH2,LA2,SP
20190076,F,JAE Ordinary Admission,Science,BUKIT PANJANG GOVT. HIGH SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,8,B3,A1,A1,,,,,A1,A1,,A2,A2,,,,,,,,,,,A2,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,
20190077,M,IP (X),Science,SCHOOL X,CHRISTIAN,SINGAPORE CITIZEN,,2,6,B3,B4,,,,,,A1,A2,A1,A1,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,A2,,,,,,,,,,,,
20190078,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,2.13,6,B3,B3,,,,,,A2,A1,A1,A1,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,
20190079,M,Appeals (Academic),Science,BUKIT PANJANG GOVT. HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,,7,A2,,B3,,,,,A2,A1,,A1,A1,,,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,,,,,,,,,,,,,,,
20190080,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.19,6,A2,A1,,,,,,A1,A1,,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190081,M,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),NO RELIGION,SINGAPORE CITIZEN,,0,7,A1,A2,A2,,,,,A2,A1,A1,A1,A2,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190082,M,IP (X),Science,SCHOOL X,NO RELIGION,SINGAPORE CITIZEN,,1.89,6,A2,A2,,,,,,A1,A2,A2,A2,A2,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,
20190083,M,JAE Ordinary Admission,Science,NAN CHIAU HIGH SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,B3,A1,,,,,A1,A1,A2,A1,,,,,,,,,,,,,A2,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20190084,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.06,6,A2,A1,,,,,,B3,B3,A2,A2,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,B3,,,,,,,,,,,,,,
20190085,M,IP (X),Arts,SCHOOL X,NO RELIGION,MALAYSIAN,,1.56,6,A2,A1,,,,,,A1,A1,A1,A1,,,,,,,,,,,,,,,,A1,,,,,,,,,A1,,,,,,,,,,,,,,,,,,
20190086,F,IP (Y),Arts,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,2.06,6,A1,A2,,,,,,A2,C5,B3,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,A1,,,A1,,,,,,,,,,,
20190087,F,JAE Ordinary Admission,Science,NAN HUA HIGH SCHOOL,CHRISTIAN,SINGAPORE CITIZEN,,0,7,A2,C6,A1,,,,,A1,A1,,A1,A2,,,,,,,,,,,A1,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190088,F,JAE Ordinary Admission,Science,CRESCENT GIRLS' SCHOOL,NO RELIGION,SINGAPORE CITIZEN,,0,7,A2,A2,A1,,,,,A1,A1,,A2,A2,,,,A1,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,
20190089,F,IP (Y),Science,SCHOOL Y,NO RELIGION,SINGAPORE CITIZEN,,1.33,6,A2,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,
20190090,F,JAE Ordinary Admission,Science,ZHONGHUA SECONDARY SCHOOL,BUDDHIST,SINGAPORE CITIZEN,,0,7,A1,B4,A1,,,,,A1,A2,A2,A2,A1,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190091,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,2.56,6,A2,A2,,,,,,A1,A2,B4,B4,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,
20190092,F,IP (Y),Science,SCHOOL Y,CHRISTIAN,SINGAPORE CITIZEN,,1.78,6,B3,A2,,,,,,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2,,,,,,,,,,,,,,
20190093,M,JAE Ordinary Admission,Science,CHUNG CHENG HIGH SCHOOL (MAIN),BUDDHIST,SINGAPORE CITIZEN,,0,8,B3,A2,A1,,,,,A1,A1,A1,A1,A2,,,,,,,,,,,,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190094,F,IP (Y),Arts,SCHOOL Y,BUDDHIST,SINGAPORE CITIZEN,,4.19,6,A2,B3,,,,,,C5,C6,,C6,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,C5,,,,,A2,B3,,,,,,A1,,
