SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,BY1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,NO OF CCA
97,20180097,F,260,NA,IP (Y),SCHOOL Y,1,,0.61,,0.04,,,,0.03,,,,,,,,,0.3,,,,,,,,,,,,,,,,0.96,,,,,,,,,1
98,20180098,M,256,NA,IP (X),SCHOOL X,1,,0.84,,0.57,,,0.8,0.6,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
99,20180099,M,254,NA,DSA (CCA),SCHOOL X,1,,0.21,,0.22,,,0.27,0.15,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,1
100,20180100,M,261,NA,IP (X),SCHOOL X,1,,0.73,,0.38,,,,0.48,0.41,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
101,20180101,M,261,NA,IP (X),SCHOOL X,1,,0.12,,0.43,,,0.58,0.27,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
102,20180102,M,256,NA,IP (X),SCHOOL X,1,,0.93,,0.96,,,0.9,0.99,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,2
103,20180103,F,255,NA,IP (Y),SCHOOL Y,1,,0.02,,0.82,0.16,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,1
104,20180104,M,257,NA,IP (X),SCHOOL X,1,,0.16,,0.45,,,0.48,0.66,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
105,20180105,F,260,NA,IP (Y),SCHOOL Y,1,,0.78,,0.42,,,0.65,0.37,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
106,20180106,F,0,NA,IP (Y),SCHOOL Y,1,,0.81,,0.55,,,,,,,0.38,,,0.61,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,0.37,1
107,20180107,F,260,NA,IP (Y),SCHOOL Y,1,,0.21,,,,,,,,,,,0.21,,,,0.54,,0.62,,,,,,,,,0.7,,,,,,,,,,,,,0.87,1
108,20180108,F,258,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,1,,0.55,,0.51,,,,0.64,0.59,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
109,20180109,F,250,NA,Appeals (Academic),SINGAPORE CHINESE GIRLS' SCHOOL,1,,0.89,,0.26,,,,,,,0.43,,,0.23,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,20180110,F,232,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,1,,0.29,,0.26,,,,0.62,0.19,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
111,20180111,M,258,NA,IP (X),SCHOOL X,1,,0.93,,0.36,,,,,,,,0.6,0.25,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1
112,20180112,F,257,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,1,,0.36,,0.68,,,,0.82,0.74,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,0.29,,,,1
113,20180113,M,262,NA,IP (X),SCHOOL X,1,,0.61,,0.34,,,0.18,0.33,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,20180114,M,254,NA,IP (X),SCHOOL X,1,,0.43,,0.35,,,,0.57,0.25,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
115,20180115,F,0,NA,IP (Y),SCHOOL Y,1,,0.12,,0.78,,,0.64,0.48,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,0.1,,,,2
116,20180116,M,228,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,1,,0.67,,0.68,,,0.57,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,1
117,20180117,F,240,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,1,,0,,0.62,,,0.56,,,,,,0.88,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,1
